restlessness,speech_speed,eye_contact_breaks,facial_strain,multitasking,hours_of_sleep,caffeine_intake,sleep_caffeine_interaction,anxiety_score_target,topic_drift,logical_confusion,overwhelmed_by_tasks,mood_shifts,instability_symptom_count,stability_target,contradiction,timeline_inconsistency,cognitive_pauses,over_rehearsed_responses,stress_smiles,body_language_contradiction,contradiction_and_pause,integrity_score_target,observer_gut_feeling,persona
1,fast,17.5,0,0,5.7886812371663945,3.0,1.6971703092915986,6.219707077633285,0,1,0,0,1,Stable,1,0,1,1,1,1,1,0.0,Bad,deceptive
1,normal,16.0,0,1,4.488976732386742,2.0,1.8296589107955807,8.946771074869234,0,0,0,0,0,Unstable,0,0,0,0,0,0,0,100.0,Good,anxious_honest
1,normal,18.5,1,1,4.767174325297066,5.0,0.9611957208828444,9.40786570344115,1,1,1,0,3,Unstable,0,1,0,0,1,0,0,76.36351842317698,Good,volatile
1,fast,19.0,1,0,4.190800782690077,2.0,1.7302669275633589,8.956898855760075,0,0,0,0,0,Stable,0,0,0,0,0,0,0,82.54450296344349,Good,anxious_honest
1,fast,14.0,1,1,3.2240862590848325,3.0,1.0560215647712081,10.0,1,1,0,0,2,Unstable,0,0,0,0,0,1,0,78.64647647918541,Good,trauma_survivor
1,fast,11.0,0,0,3.8050296017707175,4.0,0.9610059203541436,9.163433611135455,0,0,0,0,0,Stable,0,0,0,0,0,0,0,75.33403162646567,Good,anxious_honest
1,fast,11.5,1,0,3.0,4.0,0.8,9.05076494106002,1,0,0,1,2,Unstable,1,0,0,1,0,0,0,58.21567927154267,Bad,volatile
0,fast,12.0,0,1,3.5514147008355734,3.0,1.1378536752088935,9.916680935532622,1,0,0,0,1,Stable,1,0,0,0,0,1,0,73.68601438855862,Good,anxious_honest
1,fast,18.0,1,1,4.231713916978471,2.0,1.7439046389928237,7.461527518488149,0,0,0,0,0,Stable,0,0,0,0,0,0,0,93.14797201379832,Good,anxious_honest
0,slow,10.5,1,1,5.830007241950063,3.0,1.7075018104875157,7.990822017073841,0,0,0,0,0,Stable,1,1,0,0,1,1,0,39.178497688297796,Bad,deceptive
1,slow,19.0,1,1,5.201115394345994,4.0,1.2402230788691988,8.2239756553863,0,0,0,0,0,Stable,0,0,0,0,0,1,0,80.09812659988194,Bad,anxious_honest
0,fast,8.5,0,0,6.63080930427557,0.0,7.63080930427557,2.3228082723664296,0,0,0,0,0,Stable,0,0,0,0,0,0,0,90.48257531626378,Good,low_risk
1,slow,12.5,1,0,6.775066289378916,2.0,2.5916887631263053,6.212105612824449,0,0,0,0,0,Unstable,1,1,1,0,1,1,1,11.875247790447661,Bad,deceptive
1,normal,12.0,0,0,3.0,6.0,0.5714285714285714,10.0,0,0,0,1,1,Stable,0,0,0,0,0,0,0,73.35182399114305,Bad,trauma_survivor
0,normal,7.5,0,0,7.886674638942982,0.0,8.886674638942981,2.0665485702109727,0,0,0,0,0,Stable,0,0,0,0,0,0,0,86.16234608353741,Good,low_risk
1,slow,7.5,1,0,3.7108137824995415,3.0,1.1777034456248854,8.528634324955295,1,0,0,0,1,Stable,1,1,1,1,1,1,1,0.0,Bad,deceptive
0,slow,6.5,1,0,5.991228058654627,3.0,1.7478070146636568,2.0759639205734883,0,0,0,0,0,Stable,0,0,0,0,0,0,0,96.24990713961095,Good,low_risk
1,slow,10.5,0,0,8.449926897394105,3.0,2.3624817243485263,1.5183379491267508,0,0,0,0,0,Stable,0,0,0,0,0,0,0,85.6805243236892,Good,low_risk
1,slow,9.5,0,0,7.91638734491286,2.0,2.972129114970953,4.3152856148852115,0,0,0,0,0,Stable,0,0,0,0,0,0,0,96.01522094426159,Good,low_risk
0,normal,12.5,0,0,6.850218775268792,1.0,3.925109387634396,0.12450300786405744,0,0,0,0,0,Stable,0,0,0,0,0,0,0,93.22177773498257,Good,low_risk
0,fast,11.0,1,1,4.44869393082206,4.0,1.0897387861644119,9.393924009996013,0,0,0,0,0,Stable,0,0,0,0,0,1,0,98.95724049526952,Good,anxious_honest
0,normal,14.0,1,1,5.042917343104617,3.0,1.5107293357761542,7.723724066188474,0,0,0,0,0,Stable,0,0,0,0,0,0,0,81.63070741568258,Good,anxious_honest
1,normal,18.5,1,1,3.833320736128569,2.0,1.611106912042856,7.703838002678544,1,1,1,1,4,Unstable,1,1,1,1,0,0,1,37.28147629607827,Bad,volatile
1,slow,12.5,1,0,6.619599455425934,2.0,2.539866485141978,7.359114020270003,0,0,0,0,0,Stable,0,0,1,1,1,1,0,18.19329805029036,Bad,deceptive
1,fast,23.0,1,1,3.0,5.0,0.6666666666666666,10.0,0,0,0,0,0,Unstable,0,0,0,0,0,0,0,89.28418988384632,Good,trauma_survivor
1,normal,10.5,0,0,5.959884268417535,3.0,1.7399710671043838,8.639280363131308,0,0,0,1,1,Stable,1,1,0,1,1,0,0,35.70131278327312,Bad,deceptive
1,normal,8.5,1,1,6.71796620555278,0.0,7.71796620555278,1.5596199667815722,0,0,0,0,0,Stable,0,0,0,0,0,0,0,84.1844083278612,Good,low_risk
0,normal,15.5,1,1,3.0,3.0,1.0,8.778240367591867,1,1,0,0,2,Unstable,0,0,0,0,0,0,0,60.42437625289178,Bad,volatile
0,fast,2.5,0,0,8.308496117746355,0.0,9.308496117746355,0.30151620194027995,0,0,0,0,0,Stable,0,0,0,0,0,0,0,93.32052075948788,Good,low_risk
0,fast,16.0,1,1,3.5281362952141744,4.0,0.9056272590428349,7.75214915470115,0,1,0,0,1,Unstable,0,0,0,0,0,0,0,77.21424985307664,Bad,anxious_honest
1,fast,13.5,1,0,5.192946044122205,3.0,1.5482365110305512,6.5744724769697696,0,0,0,0,0,Stable,1,1,0,1,1,1,0,18.18256911478899,Bad,deceptive
0,slow,2.5,0,0,5.8725151299941665,0.0,6.8725151299941665,2.8608580103237635,0,0,0,0,0,Stable,0,0,0,0,0,0,0,100.0,Good,low_risk
0,normal,7.5,0,0,6.283195947327648,2.0,2.4277319824425496,2.7298785124383866,0,0,0,0,0,Stable,0,1,0,0,0,0,0,89.15425580239122,Bad,low_risk
0,normal,12.5,0,0,7.240368382855812,2.0,2.7467894609519377,2.5482291163198805,0,0,0,0,0,Stable,0,0,0,0,0,0,0,94.53636260388187,Good,low_risk
0,normal,7.5,1,0,7.3505360617858555,0.0,8.350536061785856,2.60227684821248,0,0,0,0,0,Stable,0,0,0,0,0,1,0,84.23885919871753,Good,low_risk
1,slow,22.0,0,1,3.0,4.0,0.8,9.54290468296168,0,0,0,1,1,Stable,1,0,0,0,0,0,0,67.51195840683408,Good,trauma_survivor
1,normal,19.0,1,0,3.2887303042622738,4.0,0.8577460608524546,10.0,0,0,0,0,0,Stable,0,0,0,0,0,0,0,71.42867206562173,Good,trauma_survivor
1,fast,11.0,1,0,3.0,4.0,0.8,8.337073497354872,0,0,0,1,1,Stable,0,1,0,0,0,0,0,84.15082884141337,Good,anxious_honest
1,fast,16.0,1,1,4.987344185584019,4.0,1.1974688371168036,6.76946273980478,0,0,0,0,0,Unstable,0,1,0,0,0,0,0,83.67896948665943,Good,anxious_honest
0,fast,14.0,1,0,4.572436508007962,3.0,1.3931091270019904,8.201851597122712,0,0,0,0,0,Stable,0,0,0,0,0,1,0,83.87203388378016,Good,anxious_honest
1,normal,10.0,1,0,4.794838374948114,5.0,0.9658063958246856,7.360937957205498,0,0,0,0,0,Stable,0,0,0,0,0,0,0,89.71441444755338,Good,anxious_honest
0,fast,16.0,1,1,3.0831812962396095,6.0,0.5833116137485156,10.0,0,0,0,0,0,Stable,0,0,0,0,0,0,0,83.48285834700464,Good,trauma_survivor
1,slow,8.5,1,1,5.93931915777686,2.0,2.3131063859256202,7.3446018686626235,0,0,0,0,0,Stable,1,1,0,1,1,1,0,16.939625478903892,Bad,deceptive
0,slow,7.5,0,1,7.736259669747617,2.0,2.912086556582539,1.8429722049161383,0,0,0,0,0,Stable,0,0,0,0,0,0,0,89.22539170085271,Good,low_risk
1,fast,18.5,1,1,3.6903778735597834,5.0,0.7817296455932973,10.0,1,1,0,1,3,Unstable,1,0,1,1,0,0,1,35.22098032965269,Bad,volatile
0,fast,7.5,0,0,8.082714751087101,0.0,9.082714751087101,0.0,1,0,0,0,1,Stable,0,0,0,0,0,0,0,90.18010379518182,Good,low_risk
1,fast,14.5,1,1,3.516737352325834,2.0,1.5055791174419444,7.701025715788555,1,0,1,0,2,Unstable,1,0,0,0,0,0,0,63.658940611831945,Bad,volatile
0,normal,5.5,0,0,6.964064730552841,1.0,3.9820323652764205,2.291588393587968,0,0,0,0,0,Stable,0,0,0,0,0,0,0,81.64404202880097,Bad,low_risk
1,fast,17.0,1,0,5.256799728633296,2.0,2.085599909544432,8.314938724463762,0,0,0,0,0,Stable,0,0,0,0,0,0,0,88.57343702440538,Good,anxious_honest
1,fast,21.5,0,0,4.380911908114892,3.0,1.345227977028723,8.387195284628824,1,1,1,1,4,Unstable,1,0,0,0,0,1,0,55.414796874385196,Bad,volatile
1,normal,20.5,1,0,4.302878389455066,3.0,1.3257195973637665,9.471473861950596,1,1,0,0,2,Unstable,1,0,1,0,0,0,1,37.74158709203082,Bad,volatile
0,slow,11.5,0,0,6.985931158026982,0.0,7.985931158026982,1.173108937140944,0,0,0,0,0,Stable,0,0,0,0,0,0,0,92.84345539275,Good,low_risk
1,normal,20.5,1,1,3.989196398118604,3.0,1.2472990995296511,10.0,1,0,0,1,2,Unstable,0,0,0,1,0,1,0,51.88311338557307,Bad,volatile
1,normal,17.5,0,0,5.876224516636236,2.0,2.292074838878745,4.910104006294128,0,0,0,0,0,Stable,0,0,0,1,1,1,0,4.6536317916119305,Bad,deceptive
0,slow,15.5,1,0,4.334226194471617,4.0,1.0668452388943233,6.272473015333668,0,1,0,0,1,Unstable,1,1,1,1,1,0,1,0.0,Good,deceptive
0,normal,10.5,0,0,5.706262649603907,3.0,1.6765656624009768,2.8275181617629386,0,0,0,0,0,Unstable,0,0,0,0,0,1,0,82.90700310278993,Good,low_risk
0,normal,6.5,1,0,6.015973008451767,0.0,7.015973008451767,3.4154756563012922,1,0,0,0,1,Stable,0,0,0,0,0,0,0,100.0,Good,low_risk
1,fast,20.0,1,1,4.481258804457806,5.0,0.9135431340763009,7.338915024945508,0,0,0,0,0,Stable,0,0,0,0,0,0,0,82.88310718212257,Good,anxious_honest
0,normal,6.5,1,0,7.731196694977208,0.0,8.731196694977207,1.4027343424274337,0,0,0,0,0,Stable,0,0,0,0,0,0,0,100.0,Good,low_risk
1,fast,15.0,1,0,4.987999199013162,2.0,1.9959997330043873,6.733193472146453,0,0,0,0,0,Stable,0,0,0,0,0,0,0,97.53595359730075,Good,anxious_honest
1,normal,17.0,1,1,3.0,5.0,0.6666666666666666,10.0,0,1,0,0,1,Unstable,0,0,0,0,0,0,0,86.10808466414188,Good,anxious_honest
0,fast,14.5,0,0,4.270895511610865,2.0,1.7569651705369551,7.136387704643032,0,1,0,0,1,Stable,1,0,0,1,1,1,0,23.357674929441224,Bad,deceptive
1,fast,14.0,1,0,3.1297339887729096,3.0,1.0324334971932274,7.746933895266682,0,0,0,0,0,Stable,0,0,0,0,0,0,0,84.58657873838402,Good,anxious_honest
1,normal,9.5,0,0,7.060441037486015,2.0,2.686813679162005,3.290997458292007,0,0,0,0,0,Stable,0,0,0,0,0,0,0,87.89003689721116,Bad,low_risk
1,fast,17.5,1,0,4.824384559429711,2.0,1.9414615198099037,8.660215281100793,1,1,1,0,3,Unstable,0,0,0,0,0,1,0,60.6387537084543,Bad,volatile
0,normal,20.0,1,0,3.4060483451619143,5.0,0.734341390860319,10.0,1,1,1,0,3,Unstable,0,1,0,0,1,0,0,72.74789234250238,Bad,trauma_survivor
0,fast,11.5,0,1,4.470142991781121,5.0,0.9116904986301869,9.328950966407959,1,1,1,1,4,Unstable,1,0,1,0,1,0,1,52.62409723375266,Bad,volatile
0,normal,17.5,0,1,5.33529269812554,3.0,1.583823174531385,6.496730318766977,0,0,1,1,2,Unstable,1,1,0,1,1,1,0,13.438815130906868,Bad,deceptive
0,normal,10.5,0,0,6.656811747128556,3.0,1.914202936782139,3.7890597334979237,0,0,0,0,0,Stable,0,0,0,0,0,1,0,86.95255905430005,Good,low_risk
1,fast,18.0,0,0,4.785008970356641,3.0,1.4462522425891602,6.292721524721616,0,0,0,0,0,Unstable,0,0,0,0,0,0,0,91.97562381551509,Good,anxious_honest
0,slow,1.5,1,0,6.8754056361884235,0.0,7.8754056361884235,0.7635236906979422,0,0,0,0,0,Stable,0,0,0,0,0,0,0,99.42735454050975,Good,low_risk
0,normal,10.0,1,0,3.0,5.0,0.6666666666666666,10.0,0,0,0,0,0,Stable,1,0,0,0,0,0,0,86.81688396419385,Good,anxious_honest
1,normal,16.0,1,0,4.739503255985281,4.0,1.1479006511970562,9.68316436460212,0,1,0,0,1,Stable,1,0,0,0,0,0,0,87.84488759618834,Bad,anxious_honest
1,fast,5.5,0,0,6.917050182562402,0.0,7.917050182562402,2.933883393431674,0,0,0,0,0,Stable,0,0,0,0,0,0,0,87.3386610968293,Good,low_risk
1,normal,20.0,0,1,4.412770418425613,3.0,1.3531926046064033,8.478212752466431,0,0,0,0,0,Stable,0,0,0,0,0,0,0,97.67161733337178,Good,anxious_honest
1,normal,19.0,1,1,3.4536627282789123,6.0,0.6362375326112731,10.0,0,1,0,0,1,Unstable,0,0,0,0,0,0,0,75.38439149676444,Good,trauma_survivor
1,fast,15.0,1,1,4.181259344309885,3.0,1.2953148360774713,7.753980329456369,1,0,0,0,1,Stable,0,0,0,0,0,0,0,89.46271601614978,Good,anxious_honest
1,normal,17.5,1,0,3.42398890714588,5.0,0.7373314845243133,10.0,0,0,1,1,2,Unstable,1,1,1,0,0,0,1,40.84375249287659,Bad,volatile
0,normal,20.0,0,0,4.340203038600997,3.0,1.3350507596502492,8.605215622699134,0,0,0,0,0,Unstable,0,0,0,0,0,0,0,92.77891536453843,Good,anxious_honest
0,normal,13.0,1,0,4.296959336968596,4.0,1.0593918673937193,10.0,1,0,0,0,1,Stable,0,0,0,0,0,0,0,78.76895461194779,Bad,anxious_honest
1,slow,8.5,0,0,5.238423867622658,4.0,1.2476847735245316,7.975725792263447,0,1,0,1,2,Unstable,1,0,1,1,0,1,1,1.9232448953289534,Good,deceptive
1,normal,10.5,1,0,4.901305515698478,3.0,1.4753263789246196,6.578063454732813,0,0,0,1,1,Unstable,1,0,0,1,1,1,0,21.05923704646949,Bad,deceptive
0,slow,11.5,1,1,5.218516448856052,2.0,2.072838816285351,5.572219008747202,1,1,1,0,3,Unstable,1,1,1,0,1,1,1,3.50660343581315,Bad,deceptive
1,slow,15.5,0,1,4.27477983782844,5.0,0.8791299729714067,8.23558752345864,1,1,0,0,2,Unstable,1,1,0,1,1,0,0,29.086994216119784,Bad,deceptive
0,fast,8.5,1,1,7.808125975132147,0.0,8.808125975132146,2.7023022068100673,0,0,0,0,0,Stable,0,0,0,0,0,0,0,99.6795940684697,Good,low_risk
0,normal,4.5,0,1,7.441854838257987,3.0,2.1104637095644967,3.0231233129705415,0,0,0,0,0,Stable,0,0,0,0,0,1,0,82.82006749466233,Good,low_risk
0,normal,8.5,0,0,6.877682582070751,0.0,7.877682582070751,0.7691705436109239,0,0,0,0,0,Stable,0,0,0,0,0,0,0,92.742521299221,Good,low_risk
1,normal,17.5,1,0,3.7359252852052514,3.0,1.1839813213013128,8.297098033279095,1,0,1,1,3,Unstable,0,0,1,0,0,1,0,59.49084158815014,Bad,volatile
0,normal,20.5,1,1,3.926085964320073,2.0,1.6420286547733578,9.542028983559277,1,1,1,1,4,Unstable,1,0,0,0,1,1,0,63.471078623458936,Bad,volatile
0,normal,3.5,0,0,6.942441887532099,0.0,7.942441887532099,1.098389122481144,0,0,0,0,0,Stable,0,0,0,0,0,0,0,89.60936131253037,Good,low_risk
0,fast,15.0,1,0,4.977097342231008,3.0,1.494274335557752,6.539602969828436,1,0,0,0,1,Stable,0,0,0,0,0,0,0,100.0,Good,anxious_honest
0,fast,14.5,1,0,5.163459612608505,4.0,1.232691922521701,10.0,1,0,1,1,3,Unstable,0,1,0,0,1,0,0,51.38408724436667,Good,volatile
0,normal,9.5,1,0,4.605340192209874,4.0,1.1210680384419747,8.181121755194178,0,1,0,0,1,Stable,1,1,1,0,1,1,1,0.0,Bad,deceptive
0,fast,1.5,0,0,8.178219517300013,0.0,9.178219517300013,1.5311578125786314,0,0,0,0,0,Stable,0,1,0,0,0,0,0,76.36105118615507,Good,low_risk
0,normal,12.5,0,0,7.351049249776783,0.0,8.351049249776782,1.2920077985240304,0,0,0,0,0,Stable,0,0,0,0,0,0,0,97.4920329338439,Good,low_risk
0,slow,16.5,0,0,5.261050066766448,4.0,1.2522100133532896,5.485445706254566,0,0,0,0,0,Unstable,1,0,1,1,1,1,1,0.0,Bad,deceptive
0,fast,19.5,1,0,3.0,4.0,0.8,10.0,0,1,0,1,2,Unstable,0,1,0,0,0,1,0,49.494990385220255,Bad,volatile
0,normal,21.5,1,1,3.8444331745014018,3.0,1.2111082936253506,10.0,0,0,1,1,2,Unstable,0,0,0,0,0,1,0,65.22329809770572,Bad,volatile
0,normal,13.0,1,0,4.597762719701306,5.0,0.932960453283551,10.0,0,1,0,1,2,Unstable,0,1,0,0,0,0,0,95.71562732716424,Bad,anxious_honest
1,fast,11.5,1,0,5.734357598590298,3.0,1.6835893996475746,3.5040201845167216,0,0,0,0,0,Stable,0,0,0,0,0,0,0,83.9899552504426,Bad,low_risk
1,fast,17.0,1,0,3.6156376832251187,5.0,0.7692729472041865,10.0,0,0,0,0,0,Stable,0,0,0,0,0,0,0,90.79096699926149,Good,anxious_honest
0,slow,6.5,1,0,6.946549345758129,3.0,1.9866373364395322,3.4195118344976763,0,0,0,1,1,Stable,0,0,0,0,0,0,0,87.70881214799235,Bad,low_risk
0,normal,9.5,0,0,6.81368569141822,1.0,3.90684284570911,4.317727942734953,0,0,0,0,0,Stable,0,0,0,0,0,0,0,91.77193298622716,Good,low_risk
0,normal,11.5,0,0,7.92833674875305,1.0,4.464168374376525,1.6584143068695723,0,0,0,0,0,Unstable,0,0,0,0,0,0,0,98.97455712218415,Good,low_risk
1,fast,17.5,0,0,3.7952199949538405,5.0,0.7992033324923068,10.0,0,1,1,1,3,Unstable,1,0,0,0,1,0,0,56.349167487298494,Bad,volatile
0,normal,17.0,1,1,3.497400791030574,3.0,1.1243501977576436,9.871999472471552,0,0,0,0,0,Stable,0,0,0,0,0,1,0,83.90518457176111,Good,anxious_honest
1,normal,16.0,1,1,3.5176212758994234,4.0,0.9035242551798847,10.0,0,0,0,1,1,Unstable,0,0,0,0,0,0,0,97.57574388310094,Good,anxious_honest
1,normal,17.0,1,0,4.092425509840464,4.0,1.0184851019680927,10.0,0,0,0,0,0,Stable,0,0,0,0,0,1,0,85.52134672866562,Bad,anxious_honest
1,fast,11.0,0,1,4.152341259066193,4.0,1.0304682518132386,5.459589151625325,0,0,0,0,0,Stable,0,0,0,0,0,0,0,88.99137612160118,Good,anxious_honest
1,slow,15.0,1,1,4.789071195017415,3.0,1.4472677987543539,7.433098621692104,0,1,0,0,1,Unstable,0,0,0,0,0,0,0,84.09903959416697,Bad,anxious_honest
0,fast,20.0,1,1,3.6906950560714935,2.0,1.563565018690498,9.450848732013956,0,0,0,0,0,Stable,0,0,0,0,0,0,0,78.81379131911042,Good,anxious_honest
0,slow,6.5,0,0,6.3502540179777744,0.0,7.3502540179777744,0.7139805840688038,0,0,0,0,0,Stable,0,0,0,0,0,0,0,93.3951515028881,Good,low_risk
0,fast,5.5,0,0,7.852506321509376,1.0,4.426253160754689,1.8219972864358494,0,0,0,1,1,Stable,1,0,0,0,0,0,0,84.49044453243812,Good,low_risk
1,fast,18.5,0,0,3.0,4.0,0.8,9.321922210107548,1,0,1,0,2,Unstable,0,1,1,1,0,0,0,61.915812328145996,Bad,volatile
0,normal,8.5,0,1,6.677820436337085,0.0,7.677820436337085,1.2832460812520887,0,0,0,0,0,Stable,0,0,0,0,0,0,0,100.0,Bad,low_risk
0,fast,13.5,0,0,4.59124673946353,4.0,1.118249347892706,6.953555446325619,1,0,1,0,2,Unstable,1,0,1,1,0,1,1,0.0,Bad,deceptive
1,normal,5.5,0,0,7.455124906496778,2.0,2.8183749688322592,2.072805207198878,0,0,0,0,0,Unstable,0,0,0,0,0,0,0,77.79567804585166,Bad,low_risk
1,slow,14.0,0,0,4.771248213709855,5.0,0.9618747022849758,8.707777458719448,0,1,0,0,1,Stable,0,0,0,0,0,0,0,92.14731548677804,Bad,anxious_honest
1,fast,12.0,1,0,3.805964257979865,2.0,1.6019880859932882,8.963227082076806,0,0,0,0,0,Stable,0,0,0,0,0,0,0,76.03663783952535,Good,anxious_honest
1,normal,16.5,1,0,3.1619885210781273,2.0,1.3873295070260425,9.363761658358383,1,1,0,1,3,Unstable,0,0,0,0,0,1,0,36.583521259931445,Bad,volatile
1,fast,13.5,1,0,6.1317488144185095,4.0,1.4263497628837019,8.438408773842225,0,0,0,0,0,Stable,0,1,1,0,1,0,0,23.82514943286429,Bad,deceptive
0,fast,9.5,0,0,5.149717989501867,2.0,2.0499059965006223,6.323031927053158,0,0,0,0,0,Stable,0,1,0,0,1,1,0,11.688989790585927,Bad,deceptive
